"filename", "language", "Markdown", "PHP", "XML", "JSON", "MS SQL", "Properties", "JavaScript", "HTML", "Docker", "CSS", "Ini", "YAML", "comment", "blank", "total"
"/home/ser/Projects/Docker/site2/docker/php-fpm/readme.md", "Markdown", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -26
"/home/ser/Projects/Docker/site2/docker/postgres/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"/home/ser/Projects/Docker/site2/docker/postgres/readme.md", "Markdown", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -17
"/home/ser/Projects/Docker/site2/docker/postgres/scripts/database.sql", "MS SQL", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"/home/ser/Projects/Docker/site2/docker/postgres/scripts/site2.sql", "MS SQL", 0, 0, 0, 0, -736, 0, 0, 0, 0, 0, 0, 0, -383, -411, -1530
"/home/ser/Projects/Docker/site2/nginx/simple.conf", "Properties", 0, 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, -8, -12, -59
"/home/ser/Projects/Docker/site2/phpcs.xml", "XML", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -4, -20
"/home/ser/Projects/Docker/site2/phpunit.xml", "XML", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -14
"/home/ser/Projects/Docker/site2/public/http/img.php", "PHP", 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -11, -114
"/home/ser/Projects/Docker/site2/public/http/index.php", "PHP", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -26
"/home/ser/Projects/Docker/site2/public/http/media/css/admin/admin.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -5, -23
"/home/ser/Projects/Docker/site2/public/http/media/css/admin_main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, -2, -9
"/home/ser/Projects/Docker/site2/public/http/media/css/article.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -1, -7
